Latitud,Longitud,Codigo de estacion,Nombre de estacion,Tipo de archivo,Achivo fisico y localizable,Variable,Medicion,Año con datos digitales,Formato de archivo,Contador de archivos digitales,Cantidad de datos por archivo,Datos obtenidos,Año con nombre ,Meses en tablas (csv o excel),Inventario fisico (localizacion),,
9.006389,-80.565278,105007,San Lucas,Hoja de campo,2016,Evaporación del agua en superficie libre ,Discreta,2016,PDF,33,7,231,2016,Pendiente,,,
9.006389,-80.565278,105007,San Lucas,Hoja de campo,2017,Evaporación del agua en superficie libre ,Discreta,2017,PDF,14,7,98,2017,Pendiente,,,
9.006389,-80.565278,105007,San Lucas,Hoja de campo,2018,Evaporación del agua en superficie libre ,Discreta,2018,PDF,20,7,140,2018,Pendiente,,,
9.006389,-80.565278,105007,San Lucas,Higrotermograma,2013,Temperatura del aire,Continua,2013,JPG,19,168,3192,2013,Completo,DC_archivador293-03,,
9.006389,-80.565278,105007,San Lucas,Higrotermograma,2014,Temperatura del aire,Continua,2014,JPG,47,168,7896,2014,Completo,DC_archivador293-03,,
9.006389,-80.565278,105007,San Lucas,Higrotermograma,2015,Temperatura del aire,Continua,2015,JPG,51,168,8568,2015,Completo,DC_archivador293-03,,
9.006389,-80.565278,105007,San Lucas,Higrotermograma,2016,Temperatura del aire,Continua,2016,JPG,12,168,2016,2016,Completo,DC_archivador293-03,,
9.006389,-80.565278,105007,San Lucas,Higrotermograma,2013,Humedad relativa,Continua,2013,JPG,19,168,3192,2013,Completo,DC_archivador293-03,,
9.006389,-80.565278,105007,San Lucas,Higrotermograma,2014,Humedad relativa,Continua,2014,JPG,47,168,7896,2014,Completo,DC_archivador293-03,,
9.006389,-80.565278,105007,San Lucas,Higrotermograma,2015,Humedad relativa,Continua,2015,JPG,51,168,8568,2015,Completo,DC_archivador293-03,,
9.006389,-80.565278,105007,San Lucas,Higrotermograma,2016,Humedad relativa,Continua,2016,JPG,12,168,2016,2016,Completo,DC_archivador293-03,,
9.006389,-80.565278,105007,San Lucas,Pluviograma,2015,Lluvia,Continua,2015,JPG,261,24,6264,2015,Pendiente,Caja 1,,
9.006389,-80.565278,105007,San Lucas,Pluviograma,2016,Lluvia,Continua,2016,JPG,23,24,552,2016,Pendiente,Caja 1,,
9.006389,-80.565278,105007,San Lucas,Pluviograma,2017,Lluvia,Continua,2017,JPG,102,24,2448,2017,Pendiente,Caja 1,,
9.006389,-80.565278,105007,San Lucas,Pluviograma,2018,Lluvia,Continua,2018,JPG,133,24,3192,2018,Pendiente,Caja 1,,
